,A4:BD:C4:2E:D7:70 (Dignajas Rozes),A4:BD:C4:2E:D7:74 (Dignajas Rozes 5G),6A:51:48:7C:54:95 (RosaMaria \xF0\x9F\x92\x95),9A:62:AB:67:28:4B (PhPhPhone),4C:75:25:CD:DD:E9 (M5Stick),94:B9:7E:A9:10:15 (M5Atom),room_index,measurement_index,batch_index,x,y,18:4A:6F:54:B2:82 (ALHN-8A10),84:3E:92:6E:08:58 (OPTIC0852),90:16:BA:F8:CA:B4 (OPTICCAAC),90:16:BA:F8:CA:B8 (OPTICCAAC-5G),90:16:BA:F8:C7:DC (TheForceStrong),84:3E:92:6E:08:5C (OPTIC0852-5G),06:D6:AA:E7:35:25 (AndroidAP3525),B4:E8:42:9A:0E:5A (LEDnet00339A0E5A),F0:68:65:36:11:F9 (ALHN-442D),DC:2C:6E:F6:6F:A2 (LMT-2GHz-6F9D),90:16:BA:F8:C7:D8 (TheForceWeak),84:3E:92:6E:29:5C (Apollo Creed),10:27:F5:3F:31:2B (Ziepis),54:37:BB:B1:71:59 (Diagon Alleys),84:3E:92:6E:29:60 (OPTIC2953-5G),5C:1A:6F:EC:B0:21 (ALHN-A333),1C:43:63:6A:56:F4 (OPTIC56EC),A2:B3:8D:32:AC:0D (HUAWEI_B535_AC32),A2:B3:8D:32:AC:11 (HUAWEI_B535_AC32_5G),8C:DE:F9:0B:E5:89 (Dignajas 12),A2:B3:8D:32:AC:09 (HUAWEI_B535_AC32),F8:0C:58:10:DC:39 (ALHN-C1EF),F0:2F:74:B7:02:00 (Swamp),D4:1A:D1:3E:C6:71 (Baltcom_C671),B4:26:5D:A5:20:A9 (ALHN-76BA),94:00:B0:1D:01:80 (EDGE-h5fG),FA:0C:58:40:DC:3D (),F0:2F:74:B7:02:04 (Swamp),08:55:31:A1:C2:10 (LMT-C20B),28:68:D2:80:AB:C4 (EDGE-q8Ef),5C:1A:6F:EC:B9:8D (ALHN-A45E),5C:1A:6F:EC:C3:7D (ALHN-A532),E4:C3:2A:90:85:DB (House of Cats 2.4 GHz),6C:16:32:B4:45:48 (OPTIC4542),EA:C3:2A:86:C7:D1 (),14:CB:19:E5:58:9C (DIRECT-9B-HP DeskJet 2700 series),E4:C3:2A:86:C7:D1 (TP-Link_C7D1),D4:62:EA:C8:19:BE (RUTTE),10:27:F5:3F:31:2A (Ziepis5G),D4:62:EA:C8:19:C2 (),A4:BD:C4:2F:06:44 (OPTIC063B),88:40:33:7E:27:6C (OPTICCAAC),5C:1A:6F:46:CA:67 (ALHN-D988),68:3A:48:34:82:10 (MTK_SOFT_AP),A8:AD:3D:D3:80:20 (ALHN-8616),68:3A:48:34:82:10 ([washer] Samsung),C4:44:7D:70:58:04 (OPTIC57FE),E2:36:B3:04:C2:89 (smartDongle-F9F8),FA:0C:58:40:DC:39 (),1A:30:14:7A:2C:08 (RosaMaria \xF0\x9F\x92\x95),64:D1:54:87:3F:E6 (MikroTik-873FE6),D4:1A:D1:3E:C6:72 (Baltcom_C671),5C:64:7A:47:46:58 (ALHN-BBED),1C:43:63:6A:56:F8 (OPTIC56EC-5G),FA:0D:AC:EC:1E:E0 (DIRECT-E0-HP Laser 137fnw),88:40:33:7E:27:70 (OPTICCAAC-5G),00:5F:67:46:A6:24 (Dignajas 3B-15),04:D3:B5:6A:88:C7 (HUAWEI-B535-88C7),04:D3:B5:6A:88:CC (HUAWEI-B535-88C7_5G),F0:68:65:36:11:FD (ALHN-442D-5),C4:EA:1D:B7:5A:F1 (TNCAPB75AF1)
455,-63,-65,-62,-57,-51,-74,0,10,6,168,495,-71.0,-71.0,-69,-77,-83,-79,-85.0,-79.0,-85.0,,-76.0,-80.0,-84.0,-84.0,-77.0,-85.0,,,,,,,,,,-85.0,,,,,-85.0,-81.0,,,-83.0,,-82.0,,,,,-85.0,,,,,-84.0,-89.0,-81.0,,,,,,,,,,,,
456,-63,-65,-62,-57,-51,-74,0,10,7,168,495,-71.0,-71.0,-69,-77,-83,-79,-85.0,-79.0,-85.0,,-76.0,-80.0,-84.0,-84.0,-77.0,-85.0,,,,,,,,,,-85.0,,,,,-85.0,-81.0,,,-83.0,,-82.0,,,,,-85.0,,,,,-84.0,-89.0,-81.0,,,,,,,,,,,,
457,-63,-65,-62,-57,-51,-74,0,10,8,168,495,-71.0,-71.0,-69,-77,-83,-79,-85.0,-79.0,-85.0,,-76.0,-80.0,-84.0,-84.0,-77.0,-85.0,,,,,,,,,,-85.0,,,,,-85.0,-81.0,,,-83.0,,-82.0,,,,,-85.0,,,,,-84.0,-89.0,-81.0,,,,,,,,,,,,
458,-63,-65,-62,-57,-51,-74,0,10,9,168,495,-71.0,-71.0,-69,-77,-83,-79,-85.0,-79.0,-85.0,,-76.0,-80.0,-84.0,-84.0,-77.0,-85.0,,,,,,,,,,-85.0,,,,,-85.0,-81.0,,,-83.0,,-82.0,,,,,-85.0,,,,,-84.0,-89.0,-81.0,,,,,,,,,,,,
459,-63,-65,-62,-57,-51,-74,0,10,10,168,495,-71.0,-71.0,-69,-77,-83,-79,-85.0,-79.0,-85.0,,-76.0,-80.0,-84.0,-84.0,-77.0,-85.0,,,,,,,,,,-85.0,,,,,-85.0,-81.0,,,-83.0,,-82.0,,,,,-85.0,,,,,-84.0,-89.0,-81.0,,,,,,,,,,,,
460,-59,-62,-60,-52,-54,-61,0,10,11,168,495,-71.0,-71.0,-76,-79,-82,-82,-76.0,-79.0,-85.0,,-76.0,-80.0,-84.0,-84.0,-77.0,-85.0,,-87.0,-87.0,,,,,,,-85.0,,,,,-85.0,-81.0,,,-83.0,,-82.0,,,,,-85.0,,,,,-84.0,-89.0,-81.0,,,,,,,,,,,,
461,-59,-62,-60,-52,-54,-61,0,10,12,168,495,-71.0,-71.0,-76,-79,-82,-82,-76.0,-79.0,-85.0,,-76.0,-80.0,-84.0,-84.0,-77.0,-85.0,,-87.0,-87.0,,,,,,,-85.0,,,,,-85.0,-81.0,,,-83.0,,-82.0,,,,,-85.0,,,,,-84.0,-89.0,-81.0,,,,,,,,,,,,
462,-59,-62,-60,-52,-54,-61,0,10,13,168,495,-71.0,-71.0,-76,-79,-82,-82,-76.0,-79.0,-85.0,,-76.0,-80.0,-84.0,-84.0,-77.0,-85.0,,-87.0,-87.0,,,,,,,-85.0,,,,,-85.0,-81.0,,,-83.0,,-82.0,,,,,-85.0,,,,,-84.0,-89.0,-81.0,,,,,,,,,,,,
463,-59,-62,-60,-52,-54,-61,0,10,14,168,495,-71.0,-71.0,-76,-79,-82,-82,-76.0,-79.0,-85.0,,-76.0,-80.0,-84.0,-84.0,-77.0,-85.0,,-87.0,-87.0,,,,,,,-85.0,,,,,-85.0,-81.0,,,-83.0,,-82.0,,,,,-85.0,,,,,-84.0,-89.0,-81.0,,,,,,,,,,,,
464,-59,-62,-60,-52,-54,-61,0,10,15,168,495,-71.0,-71.0,-76,-79,-82,-82,-76.0,-79.0,-85.0,,-76.0,-80.0,-84.0,-84.0,-77.0,-85.0,,-87.0,-87.0,,,,,,,-85.0,,,,,-85.0,-81.0,,,-83.0,,-82.0,,,,,-85.0,,,,,-84.0,-89.0,-81.0,,,,,,,,,,,,
465,-59,-62,-60,-52,-54,-61,0,10,16,168,495,-71.0,-71.0,-76,-79,-82,-82,-76.0,-79.0,-85.0,,-76.0,-80.0,-84.0,-84.0,-77.0,-85.0,,-87.0,-87.0,,,,,,,-85.0,,,,,-85.0,-81.0,,,-83.0,,-82.0,,,,,-85.0,,,,,-84.0,-89.0,-81.0,,,,,,,,,,,,
466,-59,-62,-60,-52,-54,-61,0,10,17,168,495,-71.0,-71.0,-76,-79,-82,-82,-76.0,-79.0,-85.0,,-76.0,-80.0,-84.0,-84.0,-77.0,-85.0,,-87.0,-87.0,,,,,,,-85.0,,,,,-85.0,-81.0,,,-83.0,,-82.0,,,,,-85.0,,,,,-84.0,-89.0,-81.0,,,,,,,,,,,,
467,-59,-62,-60,-52,-54,-61,0,10,18,168,495,-71.0,-71.0,-76,-79,-82,-82,-76.0,-79.0,-85.0,,-76.0,-80.0,-84.0,-84.0,-77.0,-85.0,,-87.0,-87.0,,,,,,,-85.0,,,,,-85.0,-81.0,,,-83.0,,-82.0,,,,,-85.0,,,,,-84.0,-89.0,-81.0,,,,,,,,,,,,
468,-59,-62,-60,-52,-54,-61,0,10,19,168,495,-71.0,-71.0,-76,-79,-82,-82,-76.0,-79.0,-85.0,,-76.0,-80.0,-84.0,-84.0,-77.0,-85.0,,-87.0,-87.0,,,,,,,-85.0,,,,,-85.0,-81.0,,,-83.0,,-82.0,,,,,-85.0,,,,,-84.0,-89.0,-81.0,,,,,,,,,,,,
469,-59,-62,-60,-52,-54,-61,0,10,20,168,495,-71.0,-71.0,-76,-79,-82,-82,-76.0,-79.0,-85.0,,-76.0,-80.0,-84.0,-84.0,-77.0,-85.0,,-87.0,-87.0,,,,,,,-85.0,,,,,-85.0,-81.0,,,-83.0,,-82.0,,,,,-85.0,,,,,-84.0,-89.0,-81.0,,,,,,,,,,,,
470,-59,-62,-60,-52,-54,-61,0,10,21,168,495,-71.0,-71.0,-76,-79,-82,-82,-76.0,-79.0,-85.0,,-76.0,-80.0,-84.0,-84.0,-77.0,-85.0,,-87.0,-87.0,,,,,,,-85.0,,,,,-85.0,-81.0,,,-83.0,,-82.0,,,,,-85.0,,,,,-84.0,-89.0,-81.0,,,,,,,,,,,,
471,-59,-62,-60,-52,-54,-61,0,10,22,168,495,-71.0,-71.0,-76,-79,-82,-82,-76.0,-79.0,-85.0,,-76.0,-80.0,-84.0,-84.0,-77.0,-85.0,,-87.0,-87.0,,,,,,,-85.0,,,,,-85.0,-81.0,,,-83.0,,-82.0,,,,,-85.0,,,,,-84.0,-89.0,-81.0,,,,,,,,,,,,
472,-59,-62,-60,-52,-54,-61,0,10,23,168,495,-71.0,-71.0,-76,-79,-82,-82,-76.0,-79.0,-85.0,,-76.0,-80.0,-84.0,-84.0,-77.0,-85.0,,-87.0,-87.0,,,,,,,-85.0,,,,,-85.0,-81.0,,,-83.0,,-82.0,,,,,-85.0,,,,,-84.0,-89.0,-81.0,,,,,,,,,,,,
473,-59,-62,-60,-52,-54,-61,0,10,24,168,495,-71.0,-71.0,-76,-79,-82,-82,-76.0,-79.0,-85.0,,-76.0,-80.0,-84.0,-84.0,-77.0,-85.0,,-87.0,-87.0,,,,,,,-85.0,,,,,-85.0,-81.0,,,-83.0,,-82.0,,,,,-85.0,,,,,-84.0,-89.0,-81.0,,,,,,,,,,,,
474,-59,-62,-60,-52,-54,-61,0,10,25,168,495,-71.0,-71.0,-76,-79,-82,-82,-76.0,-79.0,-85.0,,-76.0,-80.0,-84.0,-84.0,-77.0,-85.0,,-87.0,-87.0,,,,,,,-85.0,,,,,-85.0,-81.0,,,-83.0,,-82.0,,,,,-85.0,,,,,-84.0,-89.0,-81.0,,,,,,,,,,,,
475,-59,-62,-60,-52,-54,-61,0,10,26,168,495,-71.0,-71.0,-76,-79,-82,-82,-76.0,-79.0,-85.0,,-76.0,-80.0,-84.0,-84.0,-77.0,-85.0,,-87.0,-87.0,,,,,,,-85.0,,,,,-85.0,-81.0,,,-83.0,,-82.0,,,,,-85.0,,,,,-84.0,-89.0,-81.0,,,,,,,,,,,,
476,-59,-62,-60,-52,-54,-61,0,10,27,168,495,-71.0,-71.0,-76,-79,-82,-82,-76.0,-79.0,-85.0,,-76.0,-80.0,-84.0,-84.0,-77.0,-85.0,,-87.0,-87.0,,,,,,,-85.0,,,,,-85.0,-81.0,,,-83.0,,-82.0,,,,,-85.0,,,,,-84.0,-89.0,-81.0,,,,,,,,,,,,
477,-59,-62,-60,-52,-54,-61,0,10,28,168,495,-71.0,-71.0,-76,-79,-82,-82,-76.0,-79.0,-85.0,,-76.0,-80.0,-84.0,-84.0,,,,-87.0,-87.0,,,,,,,,,,,,-85.0,,,,-83.0,,-82.0,,,,,,,,,,,-89.0,-81.0,,,,,,,,,,,,
478,-59,-62,-60,-52,-54,-61,0,10,29,168,495,-71.0,-71.0,-76,-79,-82,-82,-76.0,-79.0,-85.0,,-76.0,-80.0,-84.0,-84.0,,,,-87.0,-87.0,,,,,,,,,,,,-85.0,,,,-83.0,,-82.0,,,,,,,,,,,-89.0,-81.0,,,,,,,,,,,,
479,-59,-62,-60,-52,-54,-61,0,10,30,168,495,-71.0,-71.0,-76,-79,-82,-82,-76.0,-79.0,-85.0,,-76.0,-80.0,-84.0,-84.0,,,,-87.0,-87.0,,,,,,,,,,,,-85.0,,,,-83.0,,-82.0,,,,,,,,,,,-89.0,-81.0,,,,,,,,,,,,
480,-59,-62,-60,-52,-54,-61,0,10,31,168,495,-71.0,-71.0,-76,-79,-82,-82,-76.0,-79.0,-85.0,,-76.0,-80.0,-84.0,-84.0,,,,-87.0,-87.0,,,,,,,,,,,,-85.0,,,,-83.0,,-82.0,,,,,,,,,,,-89.0,-81.0,,,,,,,,,,,,
481,-61,-61,-54,-50,-51,-63,0,10,32,168,495,-71.0,-71.0,-70,-76,-82,-78,-86.0,-79.0,-85.0,,-76.0,-80.0,-84.0,-84.0,,,,-87.0,-87.0,,,,,,,,,,,,-85.0,,,,-83.0,,-82.0,,,,,,,,,,,-89.0,-81.0,,,,,,,,,,,,
482,-61,-61,-54,-50,-51,-63,0,10,33,168,495,-71.0,-71.0,-70,-76,-82,-78,-86.0,-79.0,-85.0,,-76.0,-80.0,-84.0,-84.0,,,,-87.0,-87.0,,,,,,,,,,,,-85.0,,,,-83.0,,-82.0,,,,,,,,,,,-89.0,-81.0,,,,,,,,,,,,
483,-61,-61,-54,-50,-51,-63,0,10,34,168,495,-71.0,-71.0,-70,-76,-82,-78,-86.0,-79.0,-85.0,,-76.0,-80.0,-84.0,-84.0,,,,-87.0,-87.0,,,,,,,,,,,,-85.0,,,,-83.0,,-82.0,,,,,,,,,,,-89.0,-81.0,,,,,,,,,,,,
484,-61,-61,-54,-50,-51,-63,0,10,35,168,495,-71.0,-71.0,-70,-76,-82,-78,-86.0,-79.0,-85.0,,-76.0,-80.0,-84.0,-84.0,,,,-87.0,-87.0,,,,,,,,,,,,-85.0,,,,-83.0,,-82.0,,,,,,,,,,,-89.0,-81.0,,,,,,,,,,,,
485,-61,-61,-54,-50,-51,-63,0,10,36,168,495,-71.0,-71.0,-70,-76,-82,-78,-86.0,-79.0,-85.0,,-76.0,-80.0,-84.0,-84.0,,,,-87.0,-87.0,,,,,,,,,,,,-85.0,,,,-83.0,,-82.0,,,,,,,,,,,-89.0,-81.0,,,,,,,,,,,,
486,-61,-61,-54,-50,-51,-63,0,10,37,168,495,-71.0,-71.0,-70,-76,-82,-78,-86.0,-79.0,-85.0,,-76.0,-80.0,-84.0,-84.0,,,,-87.0,-87.0,,,,,,,,,,,,-85.0,,,,-83.0,,-82.0,,,,,,,,,,,-89.0,-81.0,,,,,,,,,,,,
487,-61,-61,-54,-50,-51,-63,0,10,38,168,495,-71.0,-71.0,-70,-76,-82,-78,-86.0,-79.0,-85.0,,-76.0,-80.0,-84.0,-84.0,,,,-87.0,-87.0,,,,,,,,,,,,-85.0,,,,-83.0,,-82.0,,,,,,,,,,,-89.0,-81.0,,,,,,,,,,,,
488,-61,-61,-54,-50,-51,-63,0,10,39,168,495,-71.0,-71.0,-70,-76,-82,-78,-86.0,-79.0,-85.0,,-76.0,-80.0,-84.0,-84.0,,,,-87.0,-87.0,,,,,,,,,,,,-85.0,,,,-83.0,,-82.0,,,,,,,,,,,-89.0,-81.0,,,,,,,,,,,,
489,-61,-61,-54,-50,-51,-63,0,10,40,168,495,-71.0,-71.0,-70,-76,-82,-78,-86.0,-79.0,-85.0,,-76.0,-80.0,-84.0,-84.0,,,,-87.0,-87.0,,,,,,,,,,,,-85.0,,,,-83.0,,-82.0,,,,,,,,,,,-89.0,-81.0,,,,,,,,,,,,
490,-61,-61,-54,-50,-51,-63,0,10,41,168,495,-71.0,-71.0,-70,-76,-82,-78,-86.0,-79.0,-85.0,,-76.0,-80.0,-84.0,-84.0,,,,-87.0,-87.0,,,,,,,,,,,,-85.0,,,,-83.0,,-82.0,,,,,,,,,,,-89.0,-81.0,,,,,,,,,,,,
491,-61,-61,-54,-50,-51,-63,0,10,42,168,495,-71.0,-71.0,-70,-76,-82,-78,-86.0,-79.0,-85.0,,-76.0,-80.0,-84.0,-84.0,,,,-87.0,-87.0,,,,,,,,,,,,-85.0,,,,-83.0,,-82.0,,,,,,,,,,,-89.0,-81.0,,,,,,,,,,,,
492,-61,-61,-54,-50,-51,-63,0,10,43,168,495,-71.0,-71.0,-70,-76,-82,-78,-86.0,-79.0,-85.0,,-76.0,-80.0,-84.0,-84.0,,,,-87.0,-87.0,,,,,,,,,,,,-85.0,,,,-83.0,,-82.0,,,,,,,,,,,-89.0,-81.0,,,,,,,,,,,,
493,-61,-61,-54,-50,-51,-63,0,10,44,168,495,-71.0,-71.0,-70,-76,-82,-78,-86.0,-79.0,-85.0,,-76.0,-80.0,-84.0,-84.0,,,,-87.0,-87.0,,,,,,,,,,,,-85.0,,,,-83.0,,-82.0,,,,,,,,,,,-89.0,-81.0,,,,,,,,,,,,
494,-61,-61,-54,-50,-51,-63,0,10,45,168,495,-71.0,-71.0,-70,-76,-82,-78,-86.0,-79.0,-85.0,,-76.0,-80.0,-84.0,-84.0,,,,-87.0,-87.0,,,,,,,,,,,,-85.0,,,,-83.0,,-82.0,,,,,,,,,,,-89.0,-81.0,,,,,,,,,,,,
495,-61,-61,-54,-50,-51,-63,0,10,46,168,495,-71.0,,-70,-76,-82,-78,-86.0,-79.0,-85.0,,-76.0,,-84.0,-84.0,,,,-87.0,-87.0,,,,,,,,,,,,,,,,-83.0,,,,,,,,,,,,,-89.0,-81.0,,,,,,,,,,,,
496,-61,-61,-54,-50,-51,-63,0,10,47,168,495,-71.0,,-70,-76,-82,-78,-86.0,-79.0,-85.0,,-76.0,,-84.0,-84.0,,,,-87.0,-87.0,,,,,,,,,,,,,,,,-83.0,,,,,,,,,,,,,-89.0,-81.0,,,,,,,,,,,,
497,-61,-61,-54,-50,-51,-63,0,10,48,168,495,-71.0,,-70,-76,-82,-78,-86.0,-79.0,-85.0,,-76.0,,-84.0,-84.0,,,,-87.0,-87.0,,,,,,,,,,,,,,,,-83.0,,,,,,,,,,,,,-89.0,-81.0,,,,,,,,,,,,
498,-61,-61,-54,-50,-51,-63,0,10,49,168,495,-71.0,,-70,-76,-82,-78,-86.0,-79.0,-85.0,,-76.0,,,,,,,-87.0,-87.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-81.0,,,,,,,,,,,,
499,-61,-61,-54,-50,-51,-63,0,10,50,168,495,-71.0,,-70,-76,-82,-78,-86.0,-79.0,-85.0,,-76.0,,,,,,,-87.0,-87.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-81.0,,,,,,,,,,,,
500,-59,-64,-59,-54,-58,-64,0,11,1,280,495,-63.0,-62.0,-79,-71,-79,-82,-82.0,-80.0,-84.0,-84.0,-81.0,-81.0,,,-84.0,,,,,,,,,,,-86.0,,,,,,,,,,,,,,,-78.0,,,,,,,,,-55.0,,,,,,,,,,,
501,-59,-64,-59,-54,-58,-64,0,11,2,280,495,-63.0,-62.0,-79,-71,-79,-82,-82.0,-80.0,-84.0,-84.0,-81.0,-81.0,,,-84.0,,,,,,,,,,,-86.0,,,,,,,,,,,,,,,-78.0,,,,,,,,,-55.0,,,,,,,,,,,
502,-59,-64,-59,-54,-58,-64,0,11,3,280,495,-63.0,-62.0,-79,-71,-79,-82,-82.0,-80.0,-84.0,-84.0,-81.0,-81.0,,,-84.0,,,,,,,,,,,-86.0,,,,,,,,,,,,,,,-78.0,,,,,,,,,-55.0,,,,,,,,,,,
503,-59,-64,-59,-54,-58,-64,0,11,4,280,495,-63.0,-62.0,-79,-71,-79,-82,-82.0,-80.0,-84.0,-84.0,-81.0,-81.0,,,-84.0,,,,,,,,,,,-86.0,,,,,,,,,,,,,,,-78.0,,,,,,,,,-55.0,,,,,,,,,,,
504,-64,-65,-64,-47,-59,-60,0,11,5,280,495,-63.0,-62.0,-69,-75,-79,-83,-82.0,-80.0,-84.0,-84.0,-81.0,-77.0,,,-85.0,,,,,,,,,,,-86.0,,,,,,,,,,,,,,,-78.0,,,,,,,,,-55.0,,,,,,,,,,,
505,-64,-65,-64,-47,-59,-60,0,11,6,280,495,-63.0,-62.0,-69,-75,-79,-83,-82.0,-80.0,-84.0,-84.0,-81.0,-77.0,,,-85.0,,,,,,,,,,,-86.0,,,,,,,,,,,,,,,-78.0,,,,,,,,,-55.0,,,,,,,,,,,
506,-64,-65,-64,-47,-59,-60,0,11,7,280,495,-63.0,-62.0,-69,-75,-79,-83,-82.0,-80.0,-84.0,-84.0,-81.0,-77.0,,,-85.0,,,,,,,,,,,-86.0,,,,,,,,,,,,,,,-78.0,,,,,,,,,-55.0,,,,,,,,,,,
507,-64,-65,-64,-47,-59,-60,0,11,8,280,495,-63.0,-62.0,-69,-75,-79,-83,-82.0,-80.0,-84.0,-84.0,-81.0,-77.0,,,-85.0,,,,,,,,,,,-86.0,,,,,,,,,,,,,,,-78.0,,,,,,,,,-55.0,,,,,,,,,,,
508,-64,-65,-64,-47,-59,-60,0,11,9,280,495,-63.0,-62.0,-69,-75,-79,-83,-82.0,-80.0,-84.0,-84.0,-81.0,-77.0,,,-85.0,,,,,,,,,,,-86.0,,,,,,,,,,,,,,,-78.0,,,,,,,,,-55.0,,,,,,,,,,,
509,-60,-65,-60,-61,-59,-65,0,11,10,280,495,-73.0,-59.0,-69,-75,-82,-83,-83.0,-80.0,-84.0,-84.0,-81.0,-77.0,,,-85.0,,-80.0,,,,,,,,,-86.0,,,,,,,,,,,,,,,-78.0,,,,,,,,,-64.0,,,,,,,,,,,
510,-60,-65,-60,-61,-59,-65,0,11,11,280,495,-73.0,-59.0,-69,-75,-82,-83,-83.0,-80.0,-84.0,-84.0,-81.0,-77.0,,,-85.0,,-80.0,,,,,,,,,-86.0,,,,,,,,,,,,,,,-78.0,,,,,,,,,-64.0,,,,,,,,,,,
511,-64,-67,-64,-46,-59,-60,0,11,12,280,495,-73.0,-80.0,-67,-76,-82,-82,-83.0,-80.0,-84.0,-84.0,-81.0,-77.0,,,-85.0,,-80.0,,,,,,,,,-86.0,,,,,,,,,,,,,,,-78.0,,,,,,,,,-64.0,,,,,,,,,,,
512,-64,-67,-64,-46,-59,-60,0,11,13,280,495,-73.0,-80.0,-67,-76,-82,-82,-83.0,-80.0,-84.0,-84.0,-81.0,-77.0,,,-85.0,,-80.0,,,,,,,,,-86.0,,,,,,,,,,,,,,,-78.0,,,,,,,,,-64.0,,,,,,,,,,,
513,-64,-67,-64,-46,-59,-60,0,11,14,280,495,-73.0,-80.0,-67,-76,-82,-82,-83.0,-80.0,-84.0,-84.0,-81.0,-77.0,,,-85.0,,-80.0,,,,,,,,,-86.0,,,,,,,,,,,,,,,-78.0,,,,,,,,,-64.0,,,,,,,,,,,
514,-64,-67,-64,-46,-59,-60,0,11,15,280,495,-73.0,-80.0,-67,-76,-82,-82,-83.0,-80.0,-84.0,-84.0,-81.0,-77.0,,,-85.0,,-80.0,,,,,,,,,-86.0,,,,,,,,,,,,,,,-78.0,,,,,,,,,-64.0,,,,,,,,,,,
515,-64,-67,-64,-46,-59,-60,0,11,16,280,495,-73.0,-80.0,-67,-76,-82,-82,-83.0,-80.0,-84.0,-84.0,-81.0,-77.0,,,-85.0,,-80.0,,,,,,,,,-86.0,,,,,,,,,,,,,,,-78.0,,,,,,,,,-64.0,,,,,,,,,,,
516,-64,-67,-64,-46,-59,-60,0,11,17,280,495,-73.0,-80.0,-67,-76,-82,-82,-83.0,-80.0,-84.0,-84.0,-81.0,-77.0,,,-85.0,,-80.0,,,,,,,,,-86.0,,,,,,,,,,,,,,,-78.0,,,,,,,,,-64.0,,,,,,,,,,,
517,-64,-67,-64,-46,-59,-60,0,11,18,280,495,-73.0,-80.0,-67,-76,-82,-82,-83.0,-80.0,-84.0,-84.0,-81.0,-77.0,,,-85.0,,-80.0,,,,,,,,,-86.0,,,,,,,,,,,,,,,-78.0,,,,,,,,,-64.0,,,,,,,,,,,
518,-59,-61,-59,-61,-59,-62,0,11,19,280,495,-73.0,-67.0,-74,-79,-82,-82,-86.0,-80.0,,-84.0,-81.0,-83.0,,,-86.0,,-82.0,,,,,,,,,-86.0,,,,,,,,,,,,,,,,,,,,,,,,-64.0,,,,,,,,,,,
519,-59,-61,-59,-61,-59,-62,0,11,20,280,495,-73.0,-67.0,-74,-79,-82,-82,-86.0,-80.0,,-84.0,-81.0,-83.0,,,-86.0,,-82.0,,,,,,,,,-86.0,,,,,,,,,,,,,,,,,,,,,,,,-64.0,,,,,,,,,,,
520,-63,-65,-63,-47,-61,-60,0,11,21,280,495,-73.0,-67.0,-66,-75,-82,-84,-86.0,-80.0,,-84.0,-77.0,-77.0,,,-86.0,,-82.0,,,,,,,,,-86.0,,,,,,,,,,,,,,,,,,,,,,,,-64.0,,,,,,,,,,,
521,-63,-65,-63,-47,-61,-60,0,11,22,280,495,-73.0,-67.0,-66,-75,-82,-84,-86.0,-80.0,,-84.0,-77.0,-77.0,,,-86.0,,-82.0,,,,,,,,,-86.0,,,,,,,,,,,,,,,,,,,,,,,,-64.0,,,,,,,,,,,
522,-63,-65,-63,-47,-61,-60,0,11,23,280,495,-73.0,-67.0,-66,-75,-82,-84,-86.0,-80.0,,-84.0,-77.0,-77.0,,,-86.0,,-82.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-64.0,,,,,,,,,,,
523,-63,-65,-63,-47,-61,-60,0,11,24,280,495,-73.0,-67.0,-66,-75,-82,-84,-86.0,-80.0,,-84.0,-77.0,-77.0,,,-86.0,,-82.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-64.0,,,,,,,,,,,
524,-63,-65,-63,-47,-61,-60,0,11,25,280,495,-73.0,-67.0,-66,-75,-82,-84,-86.0,-80.0,,-84.0,-77.0,-77.0,,,-86.0,,-82.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-64.0,,,,,,,,,,,
525,-63,-65,-63,-47,-61,-60,0,11,26,280,495,-73.0,-67.0,-66,-75,-82,-84,-86.0,-80.0,,-84.0,-77.0,-77.0,,,-86.0,,-82.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-64.0,,,,,,,,,,,
526,-63,-65,-63,-47,-61,-60,0,11,27,280,495,-73.0,-67.0,-66,-75,-82,-84,-86.0,,,-84.0,-77.0,-77.0,,,-86.0,,-82.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-64.0,,,,,,,,,,,
527,-63,-65,-63,-47,-61,-60,0,11,28,280,495,-73.0,-67.0,-66,-75,-82,-84,-86.0,,,-84.0,-77.0,-77.0,,,-86.0,,-82.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-64.0,,,,,,,,,,,
528,-63,-65,-63,-47,-61,-60,0,11,29,280,495,-73.0,-67.0,-66,-75,-82,-84,-86.0,,,-84.0,-77.0,-77.0,,,-86.0,,-82.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-64.0,,,,,,,,,,,
529,-63,-65,-63,-47,-61,-60,0,11,30,280,495,-73.0,-67.0,-66,-75,-82,-84,-86.0,,,-84.0,-77.0,-77.0,,,-86.0,,-82.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-64.0,,,,,,,,,,,
530,-60,-60,-60,-59,-58,-62,0,11,31,280,495,-74.0,-61.0,-75,-79,-82,-84,-86.0,,,-85.0,-77.0,-77.0,,,-86.0,,-82.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-66.0,,,,,,,,,,,
